Date,Close
2020-01-20,25.11335182
2020-01-21,25.08899689
2020-01-22,25.09508324
2020-01-23,25.01591873
2020-01-24,24.63227654
2020-01-28,23.81018639
2020-01-29,23.95633698
2020-01-30,23.74929237
2020-01-31,23.99287605
2020-02-03,23.29257393
2020-02-04,23.3291111
2020-02-05,23.68230629
2020-02-06,24.07812691
2020-02-07,23.60923004
2020-02-10,23.38391685
2020-02-11,23.48135185
2020-02-12,23.38391685
2020-02-13,23.46917534
2020-02-14,23.5361557
2020-02-17,23.426548
2020-02-18,23.6153183
2020-02-19,23.44481468
2020-02-20,23.4569912
2020-02-21,23.27430725
2020-02-24,22.58618546
2020-02-25,22.12337685
2020-02-26,21.64838982
2020-02-27,21.42916679
2020-02-28,20.46092796
2020-03-02,20.30868721
2020-03-03,20.69842148
2020-03-04,20.49746513
2020-03-05,21.04945374
2020-03-06,20.27474022
2020-03-09,17.35225487
2020-03-10,18.42299461
2020-03-11,17.96320724
2020-03-12,16.58384323
2020-03-13,16.82948494
2020-03-16,15.87211704
2020-03-17,17.76795197
2020-03-18,17.09401894
2020-03-19,17.21998787
2020-03-20,17.01213646
2020-03-23,17.0247364
2020-03-24,17.88762474
2020-03-25,19.71417809
2020-03-26,19.31737518
2020-03-27,18.28442764
2020-03-30,19.02134705
2020-03-31,18.2529335
2020-04-01,19.04024315
2020-04-02,18.80090332
2020-04-03,19.10322762
2020-04-06,20.02280045
2020-04-07,19.96611404
2020-04-08,19.72677231
2020-04-09,19.84014702
2020-04-14,19.94092178
2020-04-15,19.79605675
2020-04-16,19.39295387
2020-04-17,19.70158005
2020-04-20,19.41185188
2020-04-21,18.92687035
2020-04-22,18.24663544
2020-04-23,18.73791885
2020-04-24,19.23549652
2020-04-27,19.21029854
2020-04-28,19.20400429
2020-04-29,19.60080528
2020-04-30,20.37551689
2020-05-01,18.79459953
2020-05-04,18.81979942
2020-05-05,19.32997322
2020-05-06,19.15361404
2020-05-07,19.52522278
2020-05-08,19.77716064
2020-05-11,19.87164116
2020-05-12,19.34886932
2020-05-13,19.53152275
2020-05-14,19.27958679
2020-05-15,19.94722176
2020-05-18,20.84790039
2020-05-19,22.07609749
2020-05-20,21.86824989
2020-05-21,21.7359848
2020-05-22,21.61631203
2020-05-25,21.89344215
2020-05-26,22.3595295
2020-05-27,21.70449257
2020-05-28,22.14538193
2020-05-29,21.81786156
2020-06-01,22.4917984
2020-06-02,22.302845
2020-06-03,22.88859749
2020-06-04,22.86970711
2020-06-05,22.88230133
2020-06-09,23.70740128
2020-06-10,23.61922455
2020-06-11,23.15313911
2020-06-12,22.66815567
2020-06-15,22.20207024
2020-06-16,22.85081291
2020-06-17,22.68705177
2020-06-18,22.47920227
2020-06-19,22.05090714
2020-06-22,22.27135468
2020-06-23,22.44771004
2020-06-24,22.61146927
2020-06-25,22.07609749
2020-06-26,22.70594406
2020-06-29,22.28395081
2020-06-30,22.56108093
2020-07-01,22.56108093
2020-07-02,22.68074989
2020-07-03,22.83821106
2020-07-06,22.4540062
2020-07-07,22.7374382
2020-07-08,22.51699448
2020-07-09,22.9641819
2020-07-10,22.7941227
2020-07-13,23.28540611
2020-07-14,23.35468674
2020-07-15,23.93414307
2020-07-16,23.78298187
2020-07-17,23.88375664
2020-07-20,24.17348671
2020-07-21,24.4380188
2020-07-22,23.61922455
2020-07-23,23.46176147
2020-07-24,23.35468674
2020-07-27,23.55623627
2020-07-28,23.9656353
2020-07-29,23.49325371
2020-07-30,23.82707214
2020-07-31,23.14683914
2020-08-03,23.51844978
2020-08-04,23.88375664
2020-08-05,23.90265465
2020-08-06,25.08046722
2020-08-07,24.75294495
2020-08-10,25.09306145
2020-08-11,25.31981087
2020-08-12,25.13715553
2020-08-13,25.13715553
2020-08-14,25.20013618
2020-08-17,25.10565758
2020-08-18,24.97338867
2020-08-19,24.60178185
2020-08-20,24.38763428
2020-08-21,24.16089058
2020-08-24,24.29315758
2020-08-25,24.12940025
2020-08-26,23.94674301
2020-08-27,24.21127892
2020-08-28,23.76408768
2020-08-31,23.87745857
2020-09-01,23.61922455
2020-09-02,24.24907112
2020-09-03,24.2216568
2020-09-04,23.30714417
2020-09-07,23.86744308
2020-09-08,24.09285355
2020-09-09,23.68711472
2020-09-10,23.81591797
2020-09-11,23.53899384
2020-09-14,23.98336601
2020-09-15,24.14437294
2020-09-16,24.47282028
2020-09-17,24.0284481
2020-09-18,24.34402084
2020-09-21,24.05421066
2020-09-22,23.61627769
2020-09-23,23.92540741
2020-09-24,23.7708416
2020-09-25,24.21521187
2020-09-28,23.91252327
2020-09-29,23.75796127
2020-09-30,22.92717171
2020-10-01,23.37154579
2020-10-02,22.61804008
2020-10-05,23.27494431
2020-10-06,23.36510658
2020-10-07,23.10749817
2020-10-08,23.60339355
2020-10-09,23.55831337
2020-10-12,23.46815109
2020-10-13,23.38442612
2020-10-14,23.20409966
2020-10-15,23.68067741
