Date,Close
2020-01-20,286.2781372
2020-01-21,287.1177979
2020-01-22,291.0423584
2020-01-23,289.806488
2020-01-24,293.1179504
2020-01-28,294.9669495
2020-01-29,298.2028503
2020-01-30,292.9197693
2020-01-31,294.3914795
2020-02-03,293.7877808
2020-02-04,295.6179199
2020-02-05,297.7784119
2020-02-06,302.4765625
2020-02-07,301.9199219
2020-02-10,304.684082
2020-02-11,307.2973938
2020-02-12,309.6748047
2020-02-13,312.2597046
2020-02-14,312.4483948
2020-02-17,313.7313843
2020-02-18,312.4295654
2020-02-19,321.7032471
2020-02-20,319.5145264
2020-02-21,317.3635254
2020-02-24,307.0426331
2020-02-25,305.6652527
2020-02-26,293.0140991
2020-02-27,299.5331421
2020-02-28,291.9291992
2020-03-02,288.7876587
2020-03-03,295.2877502
2020-03-04,288.8159485
2020-03-05,298.967041
2020-03-06,296.7877502
2020-03-09,279.2119751
2020-03-10,291.4857788
2020-03-11,287.9891663
2020-03-12,265.9025574
2020-03-13,297.4873962
2020-03-16,266.6893311
2020-03-17,281.4390259
2020-03-18,257.2669067
2020-03-19,269.1254272
2020-03-20,256.7739868
2020-03-23,267.54241939999997
2020-03-24,270.490387
2020-03-25,269.5520325
2020-03-26,286.2639465
2020-03-27,264.5848694
2020-03-30,296.3972168
2020-03-31,281.2304077
2020-04-01,291.013031
2020-04-02,292.2169189
2020-04-03,288.2735291
2020-04-06,303.241272
2020-04-07,295.7431335
2020-04-08,295.6957397
2020-04-09,311.8673706
2020-04-14,308.9951782
2020-04-15,307.2699585
2020-04-16,307.9429321
2020-04-17,311.3176575
2020-04-20,299.3642273
2020-04-21,290.7191772
2020-04-22,296.7479553
2020-04-23,290.7001953
2020-04-24,297.4115295
2020-04-27,305.2319031
2020-04-28,303.5256348
2020-04-29,299.1651917
2020-04-30,293.3259888
2020-05-01,283.2021179
2020-05-04,291.3732605
2020-05-05,289.7996826
2020-05-06,290.8045349
2020-05-07,291.8945923
2020-05-08,285.4960938
2020-05-11,286.4061279
2020-05-12,291.5912781
2020-05-13,293.8568115
2020-05-14,285.9226379
2020-05-15,286.1217346
2020-05-18,290.4442749
2020-05-19,287.2308655
2020-05-20,285.2875671
2020-05-21,282.4532776
2020-05-22,275.7798767
2020-05-25,282.7375793
2020-05-26,291.610321
2020-05-27,273.0024109
2020-05-28,272.5379639
2020-05-29,261.835907
2020-06-01,269.8459167
2020-06-02,269.9027405
2020-06-03,268.7841797
2020-06-04,278.9081116
2020-06-05,270.4715271
2020-06-09,263.9971924
2020-06-10,270.8127747
2020-06-11,269.9880371
2020-06-12,269.5141296
2020-06-15,264.2720947
2020-06-16,269.2203064
2020-06-17,272.2062073
2020-06-18,271.0023499
2020-06-19,273.2394409
2020-06-22,274.7845459
2020-06-23,274.1494751
2020-06-24,277.135437
2020-06-25,278.6900024
2020-06-26,277.4956055
2020-06-29,274.4812012
2020-06-30,272.0545654
2020-07-01,269.5899658
2020-07-02,274.6328735
2020-07-03,281.9698486
2020-07-06,275.6661072
2020-07-07,274.9741211
2020-07-08,265.8929749
2020-07-09,266.1300354
2020-07-10,267.6656799
2020-07-13,266.7745667
2020-07-14,264.3763428
2020-07-15,272.3673096
2020-07-16,266.7082214
2020-07-17,268.6610107
2020-07-20,267.9784241
2020-07-21,278.0738831
2020-07-22,267.997406
2020-07-23,267.7130432
2020-07-24,262.5942688
2020-07-27,261.0965271
2020-07-28,258.0252686
2020-07-29,256.2810364
2020-07-30,260.1580811
2020-07-31,256.03460689999997
2020-08-03,262.7174988
2020-08-04,268.4144897
2020-08-05,263.6653748
2020-08-06,263.2861938
2020-08-07,259.9116211
2020-08-10,264.9640198
2020-08-11,266.3480225
2020-08-12,267.05896
2020-08-13,263.3335876
2020-08-14,264.793457
2020-08-17,266.3859253
2020-08-18,278.0169678
2020-08-19,295.8000183
2020-08-20,284.3776245
2020-08-21,280.1307983
2020-08-24,279.7516785
2020-08-25,274.8035583
2020-08-26,275.8178101
2020-08-27,278.2634583
2020-08-28,274.7940063
2020-08-31,271.1160889
2020-09-01,267.0115662
2020-09-02,272.2441711
2020-09-03,275.7988586
2020-09-04,264.5184937
2020-09-07,267.4381409
2020-09-08,273.1730652
2020-09-09,266.3669739
2020-09-10,268.7202759
2020-09-11,270.1496582
2020-09-14,269.8065796
2020-09-15,273.713501
2020-09-16,277.4679871
2020-09-17,272.2651062
2020-09-18,269.3110962
2020-09-21,269.911377
2020-09-22,272.8654175
2020-09-23,283.2140198
2020-09-24,282.5184021
2020-09-25,282.7375488
2020-09-28,281.1557007
2020-09-29,281.6226501
2020-09-30,273.4848328
2020-10-01,274.2280884
2020-10-02,271.2645874
